,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE,result
713,3,1.99,2.09,0.1,0.0,0,0,0.000203,2.09,1.89,0.2,0,0.0,0.050251,0.1,3,1
929,3,1.79,2.09,0.0,0.0,0,0,0.16384,2.09,1.79,0.3,0,0.0,0.0,0.3,3,1
87,4,1.99,2.23,0.0,0.0,0,0,0.68,2.23,1.99,0.24,0,0.0,0.0,0.24,4,0
210,7,1.86,2.18,0.0,0.0,0,0,0.923496,2.18,1.86,0.32,1,0.0,0.0,0.32,0,0
815,1,1.86,2.18,0.0,0.0,0,0,0.96564,2.18,1.86,0.32,0,0.0,0.0,0.32,1,0
260,2,1.86,2.18,0.0,0.4,0,1,0.384,1.78,1.86,-0.08,0,0.183486,0.0,0.32,2,1
573,3,1.99,2.29,0.0,0.0,0,0,0.199771,2.29,1.99,0.3,0,0.0,0.0,0.3,3,1
879,4,1.99,2.09,0.0,0.0,0,0,0.708928,2.09,1.99,0.1,0,0.0,0.0,0.1,4,0
236,3,1.79,2.09,0.0,0.0,0,0,0.719675,2.09,1.79,0.3,0,0.0,0.0,0.3,3,0
545,2,1.69,1.69,0.0,0.0,1,0,0.170394,1.69,1.69,0.0,0,0.0,0.0,0.0,2,1
398,7,1.86,2.13,0.37,0.0,1,0,0.286839,2.13,1.49,0.64,1,0.0,0.198925,0.27,0,0
207,7,1.86,2.09,0.0,0.0,0,0,0.850578,2.09,1.86,0.23,1,0.0,0.0,0.23,0,0
479,7,1.86,2.13,0.27,0.0,1,0,0.75424,2.13,1.59,0.54,1,0.0,0.145161,0.27,0,0
424,3,1.99,2.23,0.0,0.0,0,0,0.416,2.23,1.99,0.24,0,0.0,0.0,0.24,3,1
275,3,1.79,2.23,0.0,0.0,0,0,0.017592,2.23,1.79,0.44,0,0.0,0.0,0.44,3,1
857,7,1.86,2.09,0.1,0.0,0,0,0.95705,2.09,1.76,0.33,1,0.0,0.053763,0.23,0,0
95,2,1.99,2.18,0.0,0.0,0,0,0.6,2.18,1.99,0.19,0,0.0,0.0,0.19,2,0
298,2,1.69,1.69,0.3,0.0,1,0,0.4672,1.69,1.39,0.3,0,0.0,0.177515,0.0,2,1
913,2,1.86,2.18,0.0,0.06,0,0,0.6,2.12,1.86,0.26,0,0.027523,0.0,0.32,2,0
122,2,1.86,2.18,0.0,0.0,0,0,0.973955,2.18,1.86,0.32,0,0.0,0.0,0.32,2,0
93,7,1.86,2.09,0.0,0.2,0,0,0.6,1.89,1.86,0.03,1,0.095694,0.0,0.23,0,0
677,1,1.96,2.13,0.0,0.74,0,1,0.731794,1.39,1.96,-0.57,0,0.347418,0.0,0.17,1,1
373,1,1.69,1.69,0.0,0.0,0,0,0.5,1.69,1.69,0.0,0,0.0,0.0,0.0,1,1
948,2,1.86,2.18,0.0,0.6,0,1,0.009319,1.58,1.86,-0.28,0,0.275229,0.0,0.32,2,1
196,4,1.99,2.09,0.0,0.4,0,0,0.99987,1.69,1.99,-0.3,0,0.191388,0.0,0.1,4,0
334,7,1.75,1.99,0.0,0.4,0,0,0.09563,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,1
750,7,1.69,1.69,0.0,0.2,0,1,0.68,1.49,1.69,-0.2,1,0.118343,0.0,0.0,0,0
878,4,1.99,2.09,0.0,0.0,0,0,0.63616,2.09,1.99,0.1,0,0.0,0.0,0.1,4,0
407,1,1.75,1.99,0.0,0.0,0,0,0.346778,1.99,1.75,0.24,0,0.0,0.0,0.24,1,1
567,7,1.99,2.13,0.5,0.0,0,1,0.32,2.13,1.49,0.64,1,0.0,0.251256,0.14,0,0
151,7,1.99,2.13,0.5,0.0,0,1,0.131072,2.13,1.49,0.64,1,0.0,0.251256,0.14,0,0
872,7,1.99,2.13,0.0,0.54,0,1,0.589079,1.59,1.99,-0.4,1,0.253521,0.0,0.14,0,1
103,2,1.75,1.99,0.0,0.3,0,1,0.932891,1.69,1.75,-0.06,0,0.150754,0.0,0.24,2,0
112,2,1.89,2.09,0.13,0.0,0,0,0.757438,2.09,1.76,0.33,0,0.0,0.068783,0.2,2,0
657,2,1.86,2.18,0.0,0.0,0,0,0.981866,2.18,1.86,0.32,0,0.0,0.0,0.32,2,0
195,4,1.99,2.09,0.0,0.4,0,0,0.999838,1.69,1.99,-0.3,0,0.191388,0.0,0.1,4,0
421,3,1.99,2.09,0.0,0.0,0,0,0.030482,2.09,1.99,0.1,0,0.0,0.0,0.1,3,1
668,2,1.86,2.18,0.0,0.0,0,0,0.256,2.18,1.86,0.32,0,0.0,0.0,0.32,2,1
203,7,1.69,1.99,0.0,0.0,0,0,0.6352,1.99,1.69,0.3,1,0.0,0.0,0.3,0,0
431,7,1.86,2.13,0.0,0.0,0,0,0.21868,2.13,1.86,0.27,1,0.0,0.0,0.27,0,1
764,2,1.89,2.18,0.13,0.0,0,0,0.744,2.18,1.76,0.42,0,0.0,0.068783,0.29,2,0
748,7,1.75,1.99,0.0,0.4,0,0,0.2048,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,1
475,7,1.86,2.09,0.1,0.0,0,0,0.4,2.09,1.76,0.33,1,0.0,0.053763,0.23,0,0
1049,7,1.69,1.69,0.0,0.0,0,0,0.744,1.69,1.69,0.0,1,0.0,0.0,0.0,0,0
702,3,1.99,2.23,0.0,0.0,0,0,0.002361,2.23,1.99,0.24,0,0.0,0.0,0.24,3,1
1055,1,1.69,1.69,0.0,0.0,0,0,0.32,1.69,1.69,0.0,0,0.0,0.0,0.0,1,1
751,4,1.79,2.09,0.0,0.0,0,0,0.4,2.09,1.79,0.3,0,0.0,0.0,0.3,4,0
158,4,1.99,2.09,0.1,0.0,0,0,0.95705,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
788,7,1.86,2.13,0.47,0.54,1,0,0.5,1.59,1.39,0.2,1,0.253521,0.252688,0.27,0,0
18,2,1.86,2.18,0.0,0.0,0,0,0.32,2.18,1.86,0.32,0,0.0,0.0,0.32,2,1
654,3,1.99,2.09,0.0,0.0,0,0,0.964583,2.09,1.99,0.1,0,0.0,0.0,0.1,3,0
729,1,1.96,2.13,0.0,0.74,0,1,0.68,1.39,1.96,-0.57,0,0.347418,0.0,0.17,1,1
394,7,1.86,2.09,0.0,0.0,0,0,0.309665,2.09,1.86,0.23,1,0.0,0.0,0.23,0,1
941,2,1.89,2.09,0.13,0.0,0,0,0.044436,2.09,1.76,0.33,0,0.0,0.068783,0.2,2,1
1013,7,1.75,1.99,0.0,0.4,1,0,0.821742,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,0
973,1,1.86,1.99,0.0,0.8,0,1,0.314957,1.19,1.86,-0.67,0,0.40201,0.0,0.13,1,1
330,1,1.76,1.99,0.0,0.4,0,1,0.5,1.59,1.76,-0.17,0,0.201005,0.0,0.23,1,1
267,3,1.79,1.79,0.0,0.0,0,0,0.5648,1.79,1.79,0.0,0,0.0,0.0,0.0,3,1
414,3,1.79,2.09,0.0,0.0,0,0,0.14535,2.09,1.79,0.3,0,0.0,0.0,0.3,3,1
1008,7,1.69,1.69,0.0,0.2,0,1,0.4,1.49,1.69,-0.2,1,0.118343,0.0,0.0,0,1
932,4,1.99,2.23,0.0,0.0,0,0,0.6,2.23,1.99,0.24,0,0.0,0.0,0.24,4,0
938,2,1.75,1.99,0.0,0.0,0,0,0.086789,1.99,1.75,0.24,0,0.0,0.0,0.24,2,1
656,2,1.86,2.18,0.0,0.0,0,0,0.977333,2.18,1.86,0.32,0,0.0,0.0,0.32,2,0
204,7,1.75,1.99,0.0,0.4,1,0,0.70816,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,0
253,7,1.86,2.13,0.0,0.0,0,0,0.993688,2.13,1.86,0.27,1,0.0,0.0,0.27,0,0
660,1,1.76,2.09,0.0,0.0,0,0,0.6,2.09,1.76,0.33,0,0.0,0.0,0.33,1,0
107,2,1.89,2.09,0.0,0.0,0,0,0.870112,2.09,1.89,0.2,0,0.0,0.0,0.2,2,0
328,4,1.99,2.09,0.1,0.0,0,0,0.65184,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
135,2,1.96,2.18,0.0,0.8,0,1,0.977093,1.38,1.96,-0.58,0,0.366972,0.0,0.22,2,1
307,2,1.86,2.18,0.0,0.0,0,1,0.217535,2.18,1.86,0.32,0,0.0,0.0,0.32,2,1
153,3,1.79,1.79,0.0,0.0,0,0,0.868928,1.79,1.79,0.0,0,0.0,0.0,0.0,3,0
906,7,1.75,1.99,0.0,0.4,1,0,0.2048,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,1
1012,7,1.75,1.99,0.0,0.4,1,0,0.777178,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,0
194,4,1.99,2.09,0.1,0.4,1,0,0.999797,1.69,1.89,-0.2,0,0.191388,0.050251,0.1,4,0
766,2,1.86,2.18,0.0,0.0,0,0,0.83616,2.18,1.86,0.32,0,0.0,0.0,0.32,2,0
974,1,1.86,2.09,0.0,0.0,0,0,0.251966,2.09,1.86,0.23,0,0.0,0.0,0.23,1,1
385,2,1.69,1.69,0.0,0.0,0,0,0.206716,1.69,1.69,0.0,0,0.0,0.0,0.0,2,1
319,3,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.24,0,0.0,0.0,0.24,3,0
870,7,1.86,2.13,0.47,0.54,1,0,0.670435,1.59,1.39,0.2,1,0.253521,0.252688,0.27,0,0
998,7,1.86,2.18,0.0,0.0,0,0,0.544,2.18,1.86,0.32,1,0.0,0.0,0.32,0,0
947,3,1.99,2.09,0.0,0.0,0,0,0.011649,2.09,1.99,0.1,0,0.0,0.0,0.1,3,1
401,2,1.86,2.18,0.0,0.06,0,0,0.274861,2.12,1.86,0.26,0,0.027523,0.0,0.32,2,1
694,3,1.79,2.09,0.0,0.0,0,0,0.014074,2.09,1.79,0.3,0,0.0,0.0,0.3,3,1
705,3,1.99,2.29,0.0,0.0,0,0,0.001209,2.29,1.99,0.3,0,0.0,0.0,0.3,3,1
933,3,1.99,2.09,0.0,0.4,0,0,0.6,1.69,1.99,-0.3,0,0.191388,0.0,0.1,3,1
596,7,1.86,2.18,0.0,0.0,0,0,0.890948,2.18,1.86,0.32,1,0.0,0.0,0.32,0,0
208,7,1.86,2.09,0.1,0.0,0,0,0.880462,2.09,1.76,0.33,1,0.0,0.053763,0.23,0,0
525,1,1.76,1.99,0.0,0.4,0,1,0.4,1.59,1.76,-0.17,0,0.201005,0.0,0.23,1,1
557,1,1.99,2.13,0.0,0.0,0,1,0.381629,2.13,1.99,0.14,0,0.0,0.0,0.14,1,1
139,3,1.99,2.23,0.0,0.0,0,0,0.6,2.23,1.99,0.24,0,0.0,0.0,0.24,3,0
166,4,2.09,2.09,0.2,0.4,0,0,0.992794,1.69,1.89,-0.2,0,0.191388,0.095694,0.0,4,0
213,7,1.86,2.13,0.27,0.0,0,0,0.96083,2.13,1.59,0.54,1,0.0,0.145161,0.27,0,0
313,2,1.99,2.18,0.0,0.0,0,1,0.729346,2.18,1.99,0.19,0,0.0,0.0,0.19,2,0
706,3,1.99,2.29,0.0,0.0,0,0,0.000967,2.29,1.99,0.3,0,0.0,0.0,0.3,3,1
670,1,1.76,1.99,0.0,0.2,0,0,0.6,1.79,1.76,0.03,0,0.100503,0.0,0.23,1,0
443,1,1.76,1.99,0.0,0.0,0,0,0.787008,1.99,1.76,0.23,0,0.0,0.0,0.23,1,0
799,7,1.99,2.13,0.0,0.54,0,1,0.416,1.59,1.99,-0.4,1,0.253521,0.0,0.14,0,1
423,2,1.69,1.99,0.0,0.0,0,0,0.54816,1.99,1.69,0.3,0,0.0,0.0,0.3,2,0
477,7,1.86,2.13,0.37,0.0,1,0,0.616,2.13,1.49,0.64,1,0.0,0.198925,0.27,0,0
408,1,1.86,1.99,0.0,0.8,0,1,0.277422,1.19,1.86,-0.67,0,0.40201,0.0,0.13,1,1
226,3,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.24,0,0.0,0.0,0.24,3,0
368,7,1.86,2.13,0.37,0.0,1,0,0.2048,2.13,1.49,0.64,1,0.0,0.198925,0.27,0,0
201,7,1.69,1.69,0.0,0.2,0,1,0.68,1.49,1.69,-0.2,1,0.118343,0.0,0.0,0,0
1031,4,1.99,2.09,0.1,0.0,0,0,0.92458,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
441,1,1.76,2.18,0.0,0.0,0,0,0.6672,2.18,1.76,0.42,0,0.0,0.0,0.42,1,0
981,7,1.86,2.18,0.0,0.0,0,0,0.52,2.18,1.86,0.32,1,0.0,0.0,0.32,0,0
712,3,1.99,2.09,0.1,0.0,0,0,0.000254,2.09,1.89,0.2,0,0.0,0.050251,0.1,3,1
141,4,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.24,0,0.0,0.0,0.24,4,0
584,7,1.86,2.13,0.37,0.0,1,0,0.83616,2.13,1.49,0.64,1,0.0,0.198925,0.27,0,0
206,7,1.86,2.09,0.0,0.0,0,0,0.813222,2.09,1.86,0.23,1,0.0,0.0,0.23,0,0
900,7,1.86,2.13,0.37,0.0,1,0,0.946313,2.13,1.49,0.64,1,0.0,0.198925,0.27,0,0
188,4,1.99,2.09,0.0,0.0,0,0,0.999226,2.09,1.99,0.1,0,0.0,0.0,0.1,4,0
940,2,1.89,2.09,0.0,0.0,0,0,0.055545,2.09,1.89,0.2,0,0.0,0.0,0.2,2,1
343,7,1.86,2.13,0.0,0.24,0,0,0.895142,1.89,1.86,0.03,1,0.112676,0.0,0.27,0,0
152,4,1.79,1.79,0.0,0.0,0,0,0.83616,1.79,1.79,0.0,0,0.0,0.0,0.0,4,0
280,3,1.99,2.23,0.0,0.0,0,0,0.005765,2.23,1.99,0.24,0,0.0,0.0,0.24,3,1
29,7,2.06,2.13,0.0,0.0,0,0,0.946313,2.13,2.06,0.07,1,0.0,0.0,0.07,0,0
624,1,1.86,2.18,0.0,0.0,0,0,0.956283,2.18,1.86,0.32,0,0.0,0.0,0.32,1,0
578,7,1.86,2.13,0.0,0.0,0,0,0.6,2.13,1.86,0.27,1,0.0,0.0,0.27,0,0
238,7,1.86,2.09,0.0,0.0,0,0,0.820592,2.09,1.86,0.23,1,0.0,0.0,0.23,0,0
346,7,1.86,2.13,0.37,0.0,1,0,0.946313,2.13,1.49,0.64,1,0.0,0.198925,0.27,0,0
273,3,1.79,1.79,0.0,0.0,0,0,0.027488,1.79,1.79,0.0,0,0.0,0.0,0.0,3,1
526,3,1.99,2.23,0.0,0.0,0,0,0.6,2.23,1.99,0.24,0,0.0,0.0,0.24,3,0
922,2,1.86,2.18,0.0,0.06,0,0,0.6928,2.12,1.86,0.26,0,0.027523,0.0,0.32,2,0
502,3,1.79,2.09,0.0,0.0,0,0,0.616,2.09,1.79,0.3,0,0.0,0.0,0.3,3,0
145,7,1.75,1.99,0.0,0.4,1,0,0.5,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,0
197,7,1.99,2.13,0.0,0.54,1,0,0.999896,1.59,1.99,-0.4,1,0.253521,0.0,0.14,0,1
131,2,1.86,2.18,0.0,0.06,0,0,0.944076,2.12,1.86,0.26,0,0.027523,0.0,0.32,2,0
738,3,1.99,2.23,0.0,0.0,0,0,0.3072,2.23,1.99,0.24,0,0.0,0.0,0.24,3,1
354,4,1.79,1.79,0.0,0.0,0,1,0.5,1.79,1.79,0.0,0,0.0,0.0,0.0,4,0
489,2,1.75,1.99,0.0,0.3,0,1,0.83616,1.69,1.75,-0.06,0,0.150754,0.0,0.24,2,0
819,7,1.86,2.13,0.47,0.54,1,0,0.985926,1.59,1.39,0.2,1,0.253521,0.252688,0.27,0,0
22,7,1.86,2.18,0.0,0.0,0,0,0.744,2.18,1.86,0.32,1,0.0,0.0,0.32,0,0
65,4,1.99,2.09,0.1,0.0,0,0,0.843479,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
835,4,1.79,1.79,0.0,0.0,0,0,0.6,1.79,1.79,0.0,0,0.0,0.0,0.0,4,0
138,2,1.99,2.18,0.0,0.0,0,0,0.988272,2.18,1.99,0.19,0,0.0,0.0,0.19,2,0
563,1,1.76,2.09,0.0,0.0,0,0,0.5,2.09,1.76,0.33,0,0.0,0.0,0.33,1,0
564,7,1.86,2.13,0.37,0.0,1,0,0.6,2.13,1.49,0.64,1,0.0,0.198925,0.27,0,0
264,2,1.99,2.18,0.0,0.0,0,1,0.645286,2.18,1.99,0.19,0,0.0,0.0,0.19,2,0
357,4,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.24,0,0.0,0.0,0.24,4,0
98,2,1.69,1.69,0.0,0.0,0,0,0.7952,1.69,1.69,0.0,0,0.0,0.0,0.0,2,0
743,3,1.99,2.09,0.1,0.4,1,0,0.691063,1.69,1.89,-0.2,0,0.191388,0.050251,0.1,3,1
24,7,1.86,2.13,0.0,0.0,0,0,0.83616,2.13,1.86,0.27,1,0.0,0.0,0.27,0,0
344,7,1.86,2.13,0.0,0.24,0,0,0.916114,1.89,1.86,0.03,1,0.112676,0.0,0.27,0,0
147,7,1.86,2.09,0.0,0.2,0,0,0.32,1.89,1.86,0.03,1,0.095694,0.0,0.23,0,1
434,4,1.99,2.29,0.0,0.4,0,1,0.48,1.89,1.99,-0.1,0,0.174672,0.0,0.3,4,0
315,2,1.99,2.18,0.0,0.0,0,0,0.826781,2.18,1.99,0.19,0,0.0,0.0,0.19,2,0
508,3,1.99,2.29,0.0,0.0,0,0,0.899337,2.29,1.99,0.3,0,0.0,0.0,0.3,3,0
190,4,1.99,2.09,0.1,0.0,0,0,0.999505,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
63,4,1.99,2.09,0.1,0.0,0,0,0.755436,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
497,2,1.86,2.18,0.0,0.4,0,1,0.32,1.78,1.86,-0.08,0,0.183486,0.0,0.32,2,1
754,1,1.86,1.99,0.0,0.3,0,1,0.3648,1.69,1.86,-0.17,0,0.150754,0.0,0.13,1,1
505,3,1.99,2.23,0.0,0.0,0,0,0.803392,2.23,1.99,0.24,0,0.0,0.0,0.24,3,0
101,2,1.75,1.99,0.0,0.0,0,0,0.895142,1.99,1.75,0.24,0,0.0,0.0,0.24,2,0
341,7,1.86,2.09,0.1,0.0,0,0,0.83616,2.09,1.76,0.33,1,0.0,0.053763,0.23,0,0
737,3,1.99,2.23,0.0,0.0,0,0,0.384,2.23,1.99,0.24,0,0.0,0.0,0.24,3,1
174,7,1.79,2.09,0.0,0.0,0,0,0.982408,2.09,1.79,0.3,1,0.0,0.0,0.3,0,0
53,4,1.99,2.29,0.0,0.0,1,0,0.834969,2.29,1.99,0.3,0,0.0,0.0,0.3,4,0
462,7,1.69,1.69,0.0,0.0,0,0,0.584,1.69,1.69,0.0,1,0.0,0.0,0.0,0,0
92,4,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.24,0,0.0,0.0,0.24,4,0
655,2,1.86,2.18,0.0,0.0,0,0,0.971666,2.18,1.86,0.32,0,0.0,0.0,0.32,2,0
804,1,1.76,2.18,0.0,0.0,0,0,0.6,2.18,1.76,0.42,0,0.0,0.0,0.42,1,0
117,2,1.86,2.18,0.0,0.0,0,0,0.920517,2.18,1.86,0.32,0,0.0,0.0,0.32,2,0
892,7,1.86,2.18,0.0,0.0,0,0,0.68,2.18,1.86,0.32,1,0.0,0.0,0.32,0,0
1007,3,1.99,2.09,0.0,0.4,0,0,0.253687,1.69,1.99,-0.3,0,0.191388,0.0,0.1,3,1
184,4,1.99,2.29,0.0,0.0,0,0,0.998111,2.29,1.99,0.3,0,0.0,0.0,0.3,4,0
1023,2,1.89,2.18,0.13,0.0,0,0,0.55046,2.18,1.76,0.42,0,0.0,0.068783,0.29,2,0
535,7,1.86,2.13,0.27,0.0,0,0,0.813222,2.13,1.59,0.54,1,0.0,0.145161,0.27,0,0
379,2,1.75,1.99,0.16,0.3,0,1,0.131072,1.69,1.59,0.1,0,0.150754,0.091429,0.24,2,1
461,4,1.79,1.79,0.0,0.0,0,1,0.48,1.79,1.79,0.0,0,0.0,0.0,0.0,4,0
268,3,1.79,2.09,0.0,0.0,0,0,0.45184,2.09,1.79,0.3,0,0.0,0.0,0.3,3,0
86,4,2.09,2.09,0.2,0.4,0,0,0.97801,1.69,1.89,-0.2,0,0.191388,0.095694,0.0,4,0
519,2,1.86,2.18,0.0,0.0,0,0,0.6,2.18,1.86,0.32,0,0.0,0.0,0.32,2,0
362,7,1.86,2.13,0.0,0.24,0,0,0.32,1.89,1.86,0.03,1,0.112676,0.0,0.27,0,1
852,1,1.69,1.99,0.0,0.0,0,0,0.868928,1.99,1.69,0.3,0,0.0,0.0,0.3,1,0
83,4,1.99,2.09,0.0,0.4,0,0,0.95705,1.69,1.99,-0.3,0,0.191388,0.0,0.1,4,0
895,7,1.86,2.18,0.0,0.0,0,0,0.83616,2.18,1.86,0.32,1,0.0,0.0,0.32,0,0
690,3,1.79,1.79,0.0,0.0,0,0,0.03436,1.79,1.79,0.0,0,0.0,0.0,0.0,3,1
687,7,2.06,2.13,0.0,0.0,0,0,0.067109,2.13,2.06,0.07,1,0.0,0.0,0.07,0,1
562,4,1.79,1.79,0.0,0.0,0,0,0.6672,1.79,1.79,0.0,0,0.0,0.0,0.0,4,0
390,2,1.75,1.99,0.0,0.0,0,0,0.267737,1.99,1.75,0.24,0,0.0,0.0,0.24,2,1
731,4,2.09,2.09,0.0,0.4,0,0,0.4,1.69,2.09,-0.4,0,0.191388,0.0,0.0,4,1
864,7,1.69,1.99,0.0,0.0,0,0,0.481092,1.99,1.69,0.3,1,0.0,0.0,0.3,0,0
558,7,1.75,1.99,0.0,0.4,1,0,0.5,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,0
430,4,1.99,2.09,0.1,0.0,0,0,0.27335,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
161,4,1.99,2.09,0.1,0.0,0,0,0.97801,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
100,2,1.75,1.99,0.0,0.0,0,0,0.868928,1.99,1.75,0.24,0,0.0,0.0,0.24,2,0
1050,7,1.69,1.99,0.0,0.0,0,1,0.5952,1.99,1.69,0.3,1,0.0,0.0,0.3,0,0
620,7,1.86,2.13,0.27,0.0,1,0,0.89327,2.13,1.59,0.54,1,0.0,0.145161,0.27,0,0
429,4,1.99,2.09,0.1,0.0,0,0,0.341687,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
893,7,1.86,2.18,0.0,0.0,0,0,0.744,2.18,1.86,0.32,1,0.0,0.0,0.32,0,0
575,3,1.99,2.09,0.1,0.0,0,0,0.287853,2.09,1.89,0.2,0,0.0,0.050251,0.1,3,1
810,7,1.86,2.13,0.37,0.0,1,0,0.895142,2.13,1.49,0.64,1,0.0,0.198925,0.27,0,0
21,1,1.76,2.18,0.0,0.0,0,0,0.68,2.18,1.76,0.42,0,0.0,0.0,0.42,1,0
732,4,2.09,2.09,0.2,0.4,0,0,0.32,1.69,1.89,-0.2,0,0.191388,0.095694,0.0,4,0
270,2,1.86,2.18,0.0,0.06,0,0,0.427008,2.12,1.86,0.26,0,0.027523,0.0,0.32,2,0
643,2,1.75,1.99,0.0,0.0,0,0,0.587686,1.99,1.75,0.24,0,0.0,0.0,0.24,2,0
167,4,2.09,2.09,0.2,0.4,0,0,0.994235,1.69,1.89,-0.2,0,0.191388,0.095694,0.0,4,0
248,7,1.86,2.13,0.0,0.0,0,0,0.980736,2.13,1.86,0.27,1,0.0,0.0,0.27,0,0
945,2,1.86,2.18,0.0,0.0,0,0,0.018201,2.18,1.86,0.32,0,0.0,0.0,0.32,2,1
685,7,1.86,2.18,0.0,0.0,0,0,0.104858,2.18,1.86,0.32,1,0.0,0.0,0.32,0,1
420,3,1.99,2.09,0.0,0.0,0,0,0.038103,2.09,1.99,0.1,0,0.0,0.0,0.1,3,1
300,3,1.79,2.09,0.0,0.0,0,0,0.299008,2.09,1.79,0.3,0,0.0,0.0,0.3,3,1
422,2,1.69,1.69,0.0,0.0,1,0,0.4352,1.69,1.69,0.0,0,0.0,0.0,0.0,2,1
967,1,1.75,1.99,0.0,0.0,0,0,0.438528,1.99,1.75,0.24,0,0.0,0.0,0.24,1,1
777,1,1.76,1.99,0.0,0.2,0,0,0.6,1.79,1.76,0.03,0,0.100503,0.0,0.23,1,0
263,2,1.86,2.18,0.0,0.06,0,0,0.556608,2.12,1.86,0.26,0,0.027523,0.0,0.32,2,0
574,3,1.99,2.29,0.0,0.0,0,0,0.359817,2.29,1.99,0.3,0,0.0,0.0,0.3,3,1
714,3,1.99,2.09,0.1,0.0,0,0,0.000162,2.09,1.89,0.2,0,0.0,0.050251,0.1,3,1
38,4,1.99,2.09,0.1,0.4,1,0,0.4,1.69,1.89,-0.2,0,0.191388,0.050251,0.1,4,0
1045,1,1.76,2.09,0.0,0.0,0,0,0.821742,2.09,1.76,0.33,0,0.0,0.0,0.33,1,0
689,3,1.79,1.79,0.0,0.0,0,0,0.04295,1.79,1.79,0.0,0,0.0,0.0,0.0,3,1
154,3,1.79,1.79,0.0,0.0,0,0,0.895142,1.79,1.79,0.0,0,0.0,0.0,0.0,3,0
990,7,1.86,2.09,0.1,0.0,0,0,0.5,2.09,1.76,0.33,1,0.0,0.053763,0.23,0,0
